-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                       Memcpy HtoD (Pageable -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       1.819ms         0.13%       1.819ms      22.732us            80  
triton_per_fused__to_copy_add_clone_convolution_div_...         0.00%       0.000us         0.00%       0.000us       0.000us       1.819ms         0.13%       1.819ms      90.927us            20  
triton_poi_fused__to_copy__unsafe_index_add_arange_c...         0.00%       0.000us         0.00%       0.000us       0.000us       1.817ms         0.13%       1.817ms      90.868us            20  
           triton_poi_fused__fused_rms_norm_cat_view_14         0.00%       0.000us         0.00%       0.000us       0.000us       1.778ms         0.13%       1.778ms       8.891us           200  
       triton_poi_fused_clone_native_group_norm_silu_35         0.00%       0.000us         0.00%       0.000us       0.000us       1.718ms         0.12%       1.718ms      85.908us            20  
triton_poi_fused_add_convolution_div_native_group_no...         0.00%       0.000us         0.00%       0.000us       0.000us       1.717ms         0.12%       1.717ms      85.860us            20  
                   triton_poi_fused_convolution_silu_27         0.00%       0.000us         0.00%       0.000us       0.000us       1.664ms         0.12%       1.664ms       6.934us           240  
       triton_poi_fused_clone_native_group_norm_silu_58         0.00%       0.000us         0.00%       0.000us       0.000us       1.588ms         0.11%       1.588ms      79.391us            20  
triton_poi_fused__to_copy_clone_convolution_native_g...         0.00%       0.000us         0.00%       0.000us       0.000us       1.498ms         0.11%       1.498ms      18.722us            80  
triton_poi_fused_add_constant_pad_nd_convolution_div...         0.00%       0.000us         0.00%       0.000us       0.000us       1.444ms         0.10%       1.444ms      72.184us            20  
triton_poi_fused__scaled_dot_product_flash_attention...         0.00%       0.000us         0.00%       0.000us       0.000us       1.431ms         0.10%       1.431ms      14.313us           100  
triton_poi_fused__to_copy__unsafe_index_add_arange_c...         0.00%       0.000us         0.00%       0.000us       0.000us       1.359ms         0.10%       1.359ms      67.952us            20  
                           triton_red_fused_abs_amax_37         0.00%       0.000us         0.00%       0.000us       0.000us       1.350ms         0.10%       1.350ms       3.374us           400  
