trial,width,arm,repeat,boundary,audit_status,raw_status,seconds,frames,fps,age_p50_ms,age_p95_ms,age_p99_ms,age_max_ms,max_event_gap_ms,final_silence_ms,frames_over_250ms,percent_over_250ms,frames_over_500ms,percent_over_500ms,frames_over_1000ms,percent_over_1000ms
compute-capture-512-r0,512,compute-capture,0,main/received,passed,measured,60.28990014648438,2219,36.8055013295522,112.599853515625,281.73994140624995,340.9580224609378,1235,198.5,47.5,146,6.579540333483551,10,0.45065344749887337,8,0.3605227579990987
compute-capture-512-r1,512,compute-capture,1,main/received,passed,measured,60.276,2503,41.52564868272612,96.699951171875,125.599853515625,142.400146484375,355.699951171875,185.0,16.300048828125,4,0.15980823012385137,0,0.0,0,0.0
compute-capture-512-r0,512,compute-capture,0,main/preview-image-raf,passed,measured,60.28990014648438,1880,31.18266899484368,126.900146484375,235.41990966796874,325.8339306640627,1240.699951171875,214.39990234375,42.800048828125,77,4.095744680851064,8,0.425531914893617,6,0.3191489361702128
compute-capture-512-r1,512,compute-capture,1,main/preview-image-raf,passed,measured,60.276,2152,35.70243546353441,114.0,143.800048828125,158.24712158203118,311.5,191.0,2.099853515625,5,0.23234200743494424,0,0.0,0,0.0
compute-capture-512-r0,512,compute-capture,0,stage/webgl-frame-submitted,passed,measured,60.28990014648438,2192,36.35766512590285,115.3499755859375,274.1450317382812,343.40804443359394,1237.099853515625,222.10009765625,46.0,126,5.748175182481752,10,0.4562043795620438,8,0.36496350364963503
compute-capture-512-r1,512,compute-capture,1,stage/webgl-frame-submitted,passed,measured,60.276,2501,41.492467980622465,101.699951171875,129.099853515625,146.199951171875,360,184.7001953125,15.0,4,0.1599360255897641,0,0.0,0,0.0
latest-input-512-r0,512,latest-input,0,main/sent,passed,measured,60.216500244140626,3432,56.99434517259165,,,,,100.60009765625,11.400146484375,0,,0,,0,
latest-input-512-r1,512,latest-input,1,main/sent,passed,measured,60.2445,2906,48.23676850168895,,,,,1776.099853515625,13.5,0,,0,,0,
latest-input-512-r0,512,latest-input,0,main/received,passed,measured,60.216500244140626,2319,38.51103917693474,78.10009765625,145.3199462890624,309.79212890625007,413.199951171875,180.39990234375,4.0,40,1.7248814144027598,0,0.0,0,0.0
latest-input-512-r1,512,latest-input,1,main/received,passed,measured,60.2445,1853,30.757994505722515,122.0,2071.019970703125,2387.93607421875,3001.699951171875,1451.10009765625,25.199951171875,694,37.452779276848354,529,28.54830005396654,368,19.85968699406368
latest-input-512-r0,512,latest-input,0,main/preview-image-raf,passed,measured,60.216500244140626,2022,33.57883622930662,89.9000244140625,159.37514648437502,319.8791259765625,428.39990234375,189.39990234375,39.400146484375,38,1.8793273986152323,0,0.0,0,0.0
latest-input-512-r1,512,latest-input,1,main/preview-image-raf,passed,measured,60.2445,1577,26.176663429856667,135.699951171875,2070.3599121093753,2410.2440625,3017.099853515625,1445.0,14.89990234375,598,37.92010145846544,427,27.076727964489535,288,18.26252377932784
latest-input-512-r0,512,latest-input,0,stage/webgl-frame-submitted,passed,measured,60.216500244140626,2320,38.52764592086615,81.1497802734375,147.87480468750027,313.36681152343743,415.89990234375,184.10009765625,2.600341796875,40,1.7241379310344827,0,0.0,0,0.0
latest-input-512-r1,512,latest-input,1,stage/webgl-frame-submitted,passed,measured,60.2445,1841,30.558806198076173,125.099853515625,2074.89990234375,2395.6599121093745,3008.099853515625,1450.39990234375,23.800048828125,698,37.91417707767518,524,28.46279196089082,363,19.717544812601847
before-768-r0,768,before,0,main/sent,passed,measured,60.2752998046875,2209,36.648511200407334,,,,,51.39990234375,6.800048828125,0,,0,,0,
before-768-r1,768,before,1,main/sent,passed,measured,60.27219995117188,2161,35.85400900831036,,,,,87.5,20.400146484375,0,,0,,0,
before-768-r0,768,before,0,main/received,passed,measured,60.2752998046875,867,14.384001453487171,258.39990234375,329.4499511718751,404.62985351562514,531.699951171875,231.699951171875,48.800048828125,629,72.54901960784314,2,0.2306805074971165,0,0.0
before-768-r1,768,before,1,main/received,passed,measured,60.27219995117188,852,14.1358702800002,262.4000244140625,286.84495849609374,293.0390478515625,375.60009765625,116.10009765625,15.400146484375,708,83.09859154929578,0,0.0,0,0.0
before-768-r0,768,before,0,main/preview-image-raf,passed,measured,60.2752998046875,852,14.135143296852446,271.10009765625,313.15499267578144,400.14702392578124,466.099853515625,227.0,29.800048828125,789,92.6056338028169,0,0.0,0,0.0
before-768-r1,768,before,1,main/preview-image-raf,passed,measured,60.27219995117188,853,14.152461677042453,280.699951171875,302.5400390625,314.8441015625,396,119.300048828125,9.199951171875,820,96.13130128956624,0,0.0,0,0.0
before-768-r0,768,before,0,stage/webgl-frame-submitted,passed,measured,60.2752998046875,865,14.350820365935874,262.900146484375,328.2399902343749,403.65217773437513,545.800048828125,233.10009765625,40.5,701,81.04046242774567,2,0.23121387283236994,0,0.0
before-768-r1,768,before,1,stage/webgl-frame-submitted,passed,measured,60.27219995117188,852,14.1358702800002,268.6502685546875,292.2452392578125,301.990244140625,381.10009765625,118.10009765625,13.2998046875,773,90.72769953051643,0,0.0,0,0.0
compute-capture-768-r0,768,compute-capture,0,main/sent,passed,measured,60.26530029296875,3000,49.77988967807425,,,,,50.5,14.60009765625,0,,0,,0,
compute-capture-768-r1,768,compute-capture,1,main/sent,passed,measured,60.4032998046875,3315,54.881107666617,,,,,68.699951171875,8.199951171875,0,,0,,0,
compute-capture-768-r0,768,compute-capture,0,main/received,passed,measured,60.26530029296875,1282,21.27260618909706,189.900146484375,208.39990234375,224.97103027343755,404.89990234375,202.0,27.0,10,0.7800312012480499,0,0.0,0,0.0
compute-capture-768-r1,768,compute-capture,1,main/received,passed,measured,60.4032998046875,1290,21.356449137235572,187.2999267578125,201.91989746093748,219.421923828125,223,80.300048828125,10.60009765625,0,0.0,0,0.0,0,0.0
compute-capture-768-r0,768,compute-capture,0,main/preview-image-raf,passed,measured,60.26530029296875,1279,21.222826299418987,210.599853515625,231.83002929687498,251.3220166015625,404.199951171875,200.800048828125,16.400146484375,15,1.1727912431587177,0,0.0,0,0.0
compute-capture-768-r1,768,compute-capture,1,main/preview-image-raf,passed,measured,60.4032998046875,1288,21.323338363379392,205.400146484375,222.12996826171877,240.5299023437501,258.699951171875,101.5,36.199951171875,3,0.2329192546583851,0,0.0,0,0.0
compute-capture-768-r0,768,compute-capture,0,stage/webgl-frame-submitted,passed,measured,60.26530029296875,1282,21.27260618909706,193.7998046875,212.19471435546876,229.2187255859375,409.89990234375,203.599853515625,25.30029296875,10,0.7800312012480499,0,0.0,0,0.0
compute-capture-768-r1,768,compute-capture,1,stage/webgl-frame-submitted,passed,measured,60.4032998046875,1290,21.356449137235572,191.0,207.45506591796874,223.800048828125,229.10009765625,79.7998046875,7.5,0,0.0,0,0.0,0,0.0
