name,status,width,height,workers,variant,seconds,sent_fps,received_fps,stage_fps,age_p50_ms,age_p95_ms,age_p99_ms,age_max_ms,stage_gap_max_ms,worker_gap_max_ms,encode_p50_ms,encode_p95_ms,pulses,timely_pulses,uncaptured_pulses,unobserved_pulses
n06-1024-workers2-baseline-r0,passed,1024,576,2,baseline,60.3447001953125,44.129807445904895,17.217750633231386,17.217750633231386,199.599853515625,241.83996582031253,279.37990234374956,411.300048828125,184.7001953125,332.39990234375,11.89990234375,27.38991699218751,19,17,0,2
n06-1024-workers2-terminal-noop-r0,passed,1024,576,2,terminal-noop,60.36659985351562,43.89844726107544,23.622334261997576,23.605768810200946,162.400146484375,211.200146484375,329.7880859375,486.10009765625,294.199951171875,851.0,10.099853515625,25.454956054687518,19,18,0,1
n06-512-workers2-terminal-noop-r1,passed,512,288,2,terminal-noop,60.37510009765625,46.29391910703435,45.97921983582374,45.89640423813674,67.199951171875,95.550048828125,111.25009765625009,357.500244140625,188.800048828125,398.5,8.300048828125,24.599853515625,19,19,0,0
n06-512-workers2-baseline-r1,passed,512,288,2,baseline,60.39019995117187,52.11110416167669,48.25286225838128,48.25286225838128,79.4501953125,115.64029541015621,141.02211669921869,205.500244140625,98.5,154.199951171875,8.0,22.0,19,19,0,0
n06-512-workers1-terminal-noop-r1,passed,512,288,1,terminal-noop,60.411300048828124,47.772519341039796,39.197964587519834,38.98277305895659,85.800048828125,263.0198730468751,411.437939453125,610.999755859375,459.900146484375,458,9.89990234375,25.900146484375,19,18,1,1
n06-512-workers1-baseline-r1,passed,512,288,1,baseline,60.3995,43.17916539044197,28.39427478704294,28.39427478704294,101.599853515625,130.5299560546875,148.23001464843745,279.800048828125,205.5,197.89990234375,11.800048828125,27.800048828125,19,19,0,0
n06-768-workers2-terminal-noop-r1,passed,768,448,2,terminal-noop,60.4067998046875,39.267102506164136,35.67479169510275,35.52580184579605,122.10009765625,1189.250244140625,1363.575048828125,1408.7001953125,141.0,173.0,13.0,35.800048828125,19,16,0,0
n06-768-workers2-baseline-r1,passed,768,448,2,baseline,60.37560009765625,43.69314749225003,28.653959500224623,28.653959500224623,142.5999755859375,175.05491943359374,195.99696533203127,360.60009765625,204.39990234375,275.60009765625,9.0,27.11511230468751,19,19,0,0
n06-768-workers1-terminal-noop-r1,passed,768,448,1,terminal-noop,60.34969970703125,47.870992134587325,22.336482311327003,22.336482311327003,114.2501220703125,154.01003417968764,175.75311767578125,242.10009765625,117.800048828125,114.0,7.89990234375,24.0,19,19,0,0
n06-768-workers1-baseline-r1,passed,768,448,1,baseline,60.3732998046875,52.920744937515146,15.205397136976183,15.205397136976183,139.400146484375,163.60009765625,191.17101562500014,226.599853515625,103.699951171875,99.599853515625,8.5,22.830004882812517,19,16,0,3
n06-1024-workers2-terminal-noop-r1,passed,1024,576,2,terminal-noop,60.36160009765625,44.58132315323575,24.336664330027247,24.336664330027247,163.5,195.95981445312498,214.91985351562494,395.69970703125,212.699951171875,280.2001953125,11.800048828125,27.7501220703125,19,18,0,1
n06-1024-workers2-baseline-r1,passed,1024,576,2,baseline,60.414199951171874,43.28452585838267,17.181391143786314,17.181391143786314,199.300048828125,241.51497802734374,276.1011157226566,377.2998046875,229.10009765625,270.599853515625,11.599853515625,26.930102539062517,19,19,0,0
n06-1024-workers1-terminal-noop-r1,passed,1024,576,1,terminal-noop,60.3842998046875,52.44740785673817,12.486689461313727,12.486689461313727,159.60009765625,187.00512695312506,208.5820947265625,303.10009765625,144.599853515625,142.699951171875,7.0,21.199951171875,19,17,0,2
n06-1024-workers1-baseline-r1,passed,1024,576,1,baseline,60.365499755859375,55.06456524742605,8.68045493070134,8.68045493070134,180.500244140625,218.055126953125,241.45119140624988,265.500244140625,148.400146484375,148.199951171875,7.400146484375,20.20015869140625,19,13,0,6
n06-512-workers1-baseline-r2,passed,512,288,1,baseline,60.36430004882813,51.88497170457628,28.67588953404264,28.67588953404264,96.60009765625,125.2501220703125,144.8399169921875,210.199951171875,112.39990234375,114.5,8.300048828125,23.099853515625,19,19,0,0
n06-512-workers1-terminal-noop-r2,passed,512,288,1,terminal-noop,60.3705,45.469227520063605,39.65512957487515,39.65512957487515,83.39990234375,109.0,125.09987060546875,183.099853515625,97.400146484375,97.800048828125,10.800048828125,26.579882812500017,19,19,0,0
n06-512-workers2-baseline-r2,passed,512,288,2,baseline,60.424800048828125,40.57936473134517,38.907865613129076,38.87476662068916,95.89990234375,131.1,159.59998046875,260.89990234375,146.599853515625,194.10009765625,12.800048828125,30.635021972656194,19,19,0,0
n06-512-workers2-terminal-noop-r2,passed,512,288,2,terminal-noop,60.38410009765625,41.898446708791795,41.732840200061396,41.616915643950115,76.2998046875,106.7998046875,132.7037988281251,239.19970703125,127.099853515625,201.0,11.7998046875,27.79993896484375,19,19,0,0
n06-768-workers1-baseline-r2,passed,768,448,1,baseline,60.3602998046875,51.25885739486874,15.225239155101606,15.225239155101606,139.60009765625,165.7199462890625,197.39222656250004,259.7001953125,164.599853515625,164.599853515625,6.60009765625,22.199951171875,19,18,0,1
n06-768-workers1-terminal-noop-r2,passed,768,448,1,terminal-noop,60.38139990234375,50.661296441410634,22.4241240214678,22.4241240214678,111.9000244140625,146.93509521484373,177.33496826171876,299.900146484375,169.60009765625,186.699951171875,8.099853515625,23.10009765625,19,19,0,0
n06-768-workers2-baseline-r2,passed,768,448,2,baseline,60.3787998046875,45.612036160185376,27.261224226457927,27.261224226457927,144.400146484375,283.9251708984375,1205.5251464843736,2580.400146484375,1840.89990234375,1977.300048828125,9.800048828125,26.63504638671874,19,18,1,1
n06-768-workers2-terminal-noop-r2,passed,768,448,2,terminal-noop,60.49009985351562,40.84965979530265,36.7002204555127,36.551435777990356,116.0,152.699951171875,308.7499511718768,471.599853515625,150.300048828125,201.199951171875,13.099853515625,33.3001708984375,19,19,0,0
n06-1024-workers1-baseline-r2,passed,1024,576,1,baseline,60.34939990234375,50.20762434925763,8.682770679541584,8.682770679541584,187.2498779296875,235.16995849609376,255.5789624023437,358.900146484375,237.39990234375,234.60009765625,8.39990234375,22.0,19,15,0,4
n06-1024-workers1-terminal-noop-r2,passed,1024,576,1,terminal-noop,60.382099853515626,53.1945726927711,12.387777202426147,12.387777202426147,158.699951171875,186.16507568359376,225.3830517578122,358.89990234375,202.800048828125,203,7.0,20.699951171875,19,18,0,1
n06-1024-workers2-baseline-r2,passed,1024,576,2,baseline,60.3575,52.68607878059893,17.363210868574743,17.363210868574743,191.10009765625,229.89990234375,246.77699707031246,320.199951171875,148.5,166.0,8.0,22.705187988281267,19,17,0,2
n06-1024-workers2-terminal-noop-r2,continuity-failed,1024,576,2,terminal-noop,60.37150024414063,33.22759898110521,18.734005208190425,18.71744110102138,173.8499755859375,2743.7499023437485,5676.178957519532,7122.099853515625,1970.89990234375,3490.5,10.5499267578125,26.39990234375,19,14,4,4
